,hobo_stage,hobo_stage_int,stage,r_timestamp,power_q,radius,area,int_or_ext,mannings_q,best_q,source
167,0.47,0.531449,0.753165,4/3/19 14:40,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
168,0.468,0.5294556,0.7511716,4/3/19 14:50,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
169,0.471,0.5324457,0.7541617,4/3/19 15:00,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
170,0.472,0.5334424,0.7551584,4/3/19 15:10,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
171,0.47,0.531449,0.753165,4/3/19 15:20,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
172,0.472,0.5334424,0.7551584,4/3/19 15:30,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
173,0.478,0.5394226,0.7611386,4/3/19 15:40,2.002896987,8.5722772,5.36602713,interpolated,2.591031063,2.002896987,measured
174,0.478,0.5394226,0.7611386,4/3/19 15:50,2.002896987,8.5722772,5.36602713,interpolated,2.591031063,2.002896987,measured
175,0.479,0.5404193,0.7621353,4/3/19 16:00,2.037810154,8.5742706,5.373053865,interpolated,2.59482617,2.037810154,measured
176,0.48,0.541416,0.763132,4/3/19 16:10,2.073285078,8.576264,5.3800806,interpolated,2.598622299,2.073285078,measured
177,0.481,0.5424127,0.7641287,4/3/19 16:20,2.109330046,8.5782574,5.387107335,interpolated,2.602419448,2.109330046,measured
178,0.482,0.5434094,0.7651254,4/3/19 16:30,2.145953458,8.5802508,5.39413407,interpolated,2.606217617,2.145953458,measured
179,0.481,0.5424127,0.7641287,4/3/19 16:40,2.109330046,8.5782574,5.387107335,interpolated,2.602419448,2.109330046,measured
180,0.483,0.5444061,0.7661221,4/3/19 16:50,2.183163823,8.5822442,5.401160805,interpolated,2.610016807,2.183163823,measured
181,0.489,0.5503863,0.7721023,4/3/19 17:00,2.419243198,8.5942046,5.443321215,interpolated,2.632833368,2.419243198,measured
182,0.488,0.5493896,0.7711056,4/3/19 17:10,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
183,0.488,0.5493896,0.7711056,4/3/19 17:20,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
184,0.483,0.5444061,0.7661221,4/3/19 17:30,2.183163823,8.5822442,5.401160805,interpolated,2.610016807,2.183163823,measured
185,0.488,0.5493896,0.7711056,4/3/19 17:40,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
186,0.488,0.5493896,0.7711056,4/3/19 17:50,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
187,0.49,0.551383,0.773099,4/3/19 18:00,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
188,0.489,0.5503863,0.7721023,4/3/19 18:10,2.419243198,8.5942046,5.443321215,interpolated,2.632833368,2.419243198,measured
189,0.487,0.5483929,0.7701089,4/3/19 18:20,2.338049063,8.5902178,5.429267745,interpolated,2.625223768,2.338049063,measured
190,0.492,0.5533764,0.7750924,4/3/19 18:30,2.545931854,8.6001848,5.46440142,extrapolated,2.644255415,2.500546013,measured
191,0.491,0.5523797,0.7740957,4/3/19 18:40,2.503036651,8.5981914,5.457374685,extrapolated,2.640447047,2.496737645,measured
192,0.492,0.5533764,0.7750924,4/3/19 18:50,2.545931854,8.6001848,5.46440142,extrapolated,2.644255415,2.500546013,measured
193,0.49,0.551383,0.773099,4/3/19 19:00,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
194,0.489,0.5503863,0.7721023,4/3/19 19:10,2.419243198,8.5942046,5.443321215,interpolated,2.632833368,2.419243198,measured
195,0.49,0.551383,0.773099,4/3/19 19:20,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
196,0.487,0.5483929,0.7701089,4/3/19 19:30,2.338049063,8.5902178,5.429267745,interpolated,2.625223768,2.338049063,measured
197,0.49,0.551383,0.773099,4/3/19 19:40,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
198,0.488,0.5493896,0.7711056,4/3/19 19:50,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
199,0.49,0.551383,0.773099,4/3/19 20:00,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
200,0.488,0.5493896,0.7711056,4/3/19 20:10,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
201,0.491,0.5523797,0.7740957,4/3/19 20:20,2.503036651,8.5981914,5.457374685,extrapolated,2.640447047,2.496737645,measured
202,0.49,0.551383,0.773099,4/3/19 20:30,2.460810294,8.596198,5.45034795,interpolated,2.636639698,2.460810294,measured
203,0.491,0.5523797,0.7740957,4/3/19 20:40,2.503036651,8.5981914,5.457374685,extrapolated,2.640447047,2.496737645,measured
204,0.488,0.5493896,0.7711056,4/3/19 20:50,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
205,0.492,0.5533764,0.7750924,4/3/19 21:00,2.545931854,8.6001848,5.46440142,extrapolated,2.644255415,2.500546013,measured
206,0.488,0.5493896,0.7711056,4/3/19 21:10,2.3783259,8.5922112,5.43629448,interpolated,2.629028058,2.3783259,measured
207,0.487,0.5483929,0.7701089,4/3/19 21:20,2.338049063,8.5902178,5.429267745,interpolated,2.625223768,2.338049063,measured
208,0.491,0.5523797,0.7740957,4/3/19 21:30,2.503036651,8.5981914,5.457374685,extrapolated,2.640447047,2.496737645,measured
