Date,reach,var,term,estimate,std.error,statistic,p.value,sig_or_not,r.squared,adj.r.squared
7/3/19,upper,DOC_TP,dist_cum_m,0.0088,0.0175,0.5032802243582832,0.6198,not_sig,0.01,-0.03
7/3/19,upper,DOC_DIN,dist_cum_m,5e-4,1e-4,4.346218917941057,3e-4,sig,0.46,0.44
7/3/19,upper,DOC_SRP,dist_cum_m,-0.0503,0.0931,-0.5399516036654406,0.5947,not_sig,0.01,-0.03
7/3/19,lower,temp_c,dist_cum_m,3e-4,1e-4,2.2780351278110613,0.0303,sig,0.15,0.12
7/3/19,lower,do_per,dist_cum_m,4e-4,4e-4,0.8753095134340036,0.3886,not_sig,0.03,-0.01
7/3/19,lower,do_mgl,dist_cum_m,-0,0,-0.3584977801968532,0.7226,not_sig,0,-0.03
7/3/19,lower,spc_uscm,dist_cum_m,-9e-4,4e-4,-2.186115738164959,0.037,sig,0.14,0.11
7/3/19,lower,tds_mgl,dist_cum_m,-5e-4,2e-4,-2.286444947048101,0.0297,sig,0.15,0.12
7/3/19,lower,ph,dist_cum_m,-0,0,-4.2549332446309975,2e-4,sig,0.38,0.36
7/3/19,lower,chla_ugl,dist_cum_m,2e-4,1e-4,1.8467357451557445,0.075,not_sig,0.11,0.07
7/3/19,lower,fdom_qsu,dist_cum_m,0.002,3e-4,6.810515701273991,0,sig,0.62,0.6
7/3/19,lower,scan_NO3_mgNL,dist_cum_m,-0,0,-3.8745489534495654,6e-4,sig,0.34,0.32
7/3/19,lower,scan_DOC_mgCL,dist_cum_m,3e-4,1e-4,5.248150646394393,0,sig,0.49,0.47
7/3/19,lower,NO3_UM,dist_cum_m,-0.0058,0.0026,-2.2220794902995378,0.068,not_sig,0.45,0.36
7/3/19,lower,NH4_UM,dist_cum_m,1e-4,3e-4,0.30460833810608556,0.771,not_sig,0.02,-0.15
7/3/19,lower,PO4_UM,dist_cum_m,0,0,0.028900913454893193,0.9779,not_sig,0,-0.17
7/3/19,lower,NO3_mgNL,dist_cum_m,-1e-4,0,-2.222079486974109,0.068,not_sig,0.45,0.36
7/3/19,lower,NH4_mgNL,dist_cum_m,0,0,0.3046083107483825,0.771,not_sig,0.02,-0.15
7/3/19,lower,PO4_mgPL,dist_cum_m,0,0,0.028900913454893828,0.9779,not_sig,0,-0.17
7/3/19,lower,TDN_UM,dist_cum_m,-0.0027,0.0011,-2.3828465778816046,0.0546,not_sig,0.49,0.4
7/3/19,lower,TDN_mgNL,dist_cum_m,-0,0,-2.382846590427121,0.0546,not_sig,0.49,0.4
7/3/19,lower,TDP_UM,dist_cum_m,1e-4,0,2.6137883463808937,0.0399,sig,0.53,0.45
7/3/19,lower,TDP_mgPL,dist_cum_m,0,0,2.6137883463808933,0.0399,sig,0.53,0.45
7/3/19,lower,TN_UM,dist_cum_m,-0.0026,0.0014,-1.899062714979829,0.1063,not_sig,0.38,0.27
7/3/19,lower,TN_mgNL,dist_cum_m,-0,0,-1.8990627239053808,0.1063,not_sig,0.38,0.27
7/3/19,lower,TP_UM,dist_cum_m,1e-4,0,2.699119785044745,0.0356,sig,0.55,0.47
7/3/19,lower,TP_mgPL,dist_cum_m,0,0,2.6991197850447484,0.0356,sig,0.55,0.47
7/3/19,lower,tss_mgL,dist_cum_m,-2e-4,4e-4,-0.37245199750803176,0.7224,not_sig,0.02,-0.14
7/3/19,lower,NPOC_mgCL,dist_cum_m,5e-4,2e-4,2.912020983343597,0.0269,sig,0.59,0.52
7/3/19,lower,Al_ppb_0.45,dist_cum_m,5e-4,4e-4,1.160442294161108,0.29,not_sig,0.18,0.05
7/3/19,lower,Si_ppb_0.45,dist_cum_m,-0.2551,0.1472,-1.7328949421333946,0.1338,not_sig,0.33,0.22
7/3/19,lower,P_ppb_0.45,dist_cum_m,0.0024,0.0013,1.7757086329328349,0.1261,not_sig,0.34,0.24
7/3/19,lower,Mn_ppb_0.45,dist_cum_m,0.0073,0.0081,0.9038887257357856,0.4009,not_sig,0.12,-0.03
7/3/19,lower,Fe_ppb_0.45,dist_cum_m,0.0486,0.007,6.955240773334904,4e-4,sig,0.89,0.87
7/3/19,lower,PN,dist_cum_m,0,0,0.10316053518131389,0.9212,not_sig,0,-0.16
7/3/19,lower,DON,dist_cum_m,0,0,2.157729944184854,0.0743,not_sig,0.44,0.34
7/3/19,lower,PP,dist_cum_m,0,0,0.9488171296123659,0.3793,not_sig,0.13,-0.01
7/3/19,lower,DOP,dist_cum_m,0,0,2.6545476941646515,0.0378,sig,0.54,0.46
7/3/19,lower,TN_TP,dist_cum_m,-0.0152,0.0042,-3.6393079895366895,0.0108,sig,0.69,0.64
7/3/19,lower,DIN_SRP,dist_cum_m,-0.0737,0.0488,-1.5109360164827024,0.1816,not_sig,0.28,0.15
7/3/19,lower,DOC_TN,dist_cum_m,0.0015,5e-4,2.742844124710976,0.0336,sig,0.56,0.48
7/3/19,lower,DOC_TP,dist_cum_m,-0.0174,0.0204,-0.8526516378437894,0.4266,not_sig,0.11,-0.04
7/3/19,lower,DOC_DIN,dist_cum_m,0.0111,0.0054,2.052900706252872,0.0859,not_sig,0.41,0.31
7/3/19,lower,DOC_SRP,dist_cum_m,0.2054,0.4371,0.4698267377177096,0.6551,not_sig,0.04,-0.13
8/14/19,upper,temp_c,dist_cum_m,3e-4,0,14.727529980430639,0,sig,0.69,0.69
8/14/19,upper,do_per,dist_cum_m,-0,2e-4,-0.230059553669554,0.8185,not_sig,0,-0.01
8/14/19,upper,do_mgl,dist_cum_m,-0,0,-3.1704860809145865,0.002,sig,0.09,0.08
8/14/19,upper,spc_uscm,dist_cum_m,0.0053,1e-4,61.96877425847327,0,sig,0.98,0.98
8/14/19,upper,tds_mgl,dist_cum_m,0.0034,1e-4,60.32911203954973,0,sig,0.97,0.97
8/14/19,upper,ph,dist_cum_m,-0,0,-6.3947687687620425,0,sig,0.3,0.29
8/14/19,upper,chla_ugl,dist_cum_m,0,0,7.898217471445482,0,sig,0.39,0.39
8/14/19,upper,fdom_qsu,dist_cum_m,-0.0018,1e-4,-19.864708378873317,0,sig,0.8,0.8
8/14/19,upper,scan_NO3_mgNL,dist_cum_m,0,0,6.249974998745014,0,sig,0.29,0.28
8/14/19,upper,scan_DOC_mgCL,dist_cum_m,-2e-4,0,-51.804601156778794,0,sig,0.97,0.96
8/14/19,upper,NO3_UM,dist_cum_m,1e-4,0,2.833504684014218,0.011,sig,0.31,0.27
8/14/19,upper,NH4_UM,dist_cum_m,0,0,0.7062605986851161,0.4891,not_sig,0.03,-0.03
8/14/19,upper,PO4_UM,dist_cum_m,0,0,0.9776358546921341,0.3412,not_sig,0.05,-0
8/14/19,upper,NO3_mgNL,dist_cum_m,0,0,2.8391701912451444,0.0109,sig,0.31,0.27
8/14/19,upper,NH4_mgNL,dist_cum_m,0,0,0.6938895388843385,0.4966,not_sig,0.03,-0.03
8/14/19,upper,PO4_mgPL,dist_cum_m,0,0,0.32173070463943754,0.7514,not_sig,0.01,-0.05
8/14/19,upper,TDN_UM,dist_cum_m,-0.001,3e-4,-3.7786709604986215,0.0013,sig,0.43,0.4
8/14/19,upper,TDN_mgNL,dist_cum_m,-0,0,-3.7786709658321254,0.0013,sig,0.43,0.4
8/14/19,upper,TDP_UM,dist_cum_m,0,0,1.6664211092197705,0.112,not_sig,0.13,0.08
8/14/19,upper,TDP_mgPL,dist_cum_m,0,0,1.6664211092197694,0.112,not_sig,0.13,0.08
8/14/19,upper,TN_UM,dist_cum_m,-3e-4,2e-4,-1.8430048923298907,0.081,not_sig,0.15,0.11
8/14/19,upper,TN_mgNL,dist_cum_m,-0,0,-1.843004866670886,0.081,not_sig,0.15,0.11
8/14/19,upper,TP_UM,dist_cum_m,0,0,2.2206981948103386,0.0387,sig,0.21,0.16
8/14/19,upper,TP_mgPL,dist_cum_m,0,0,2.2206981948103444,0.0387,sig,0.21,0.16
8/14/19,upper,tss_mgL,dist_cum_m,2e-4,1e-4,2.066919415218574,0.0526,not_sig,0.18,0.14
8/14/19,upper,NPOC_mgCL,dist_cum_m,-2e-4,0,-9.350263112010191,0,sig,0.82,0.81
8/14/19,upper,Al_ppb_0.45,dist_cum_m,0,1e-4,0.10773771353454625,0.9154,not_sig,0,-0.05
8/14/19,upper,Si_ppb_0.45,dist_cum_m,-0.0911,0.0033,-27.443767415261977,0,sig,0.98,0.98
8/14/19,upper,P_ppb_0.45,dist_cum_m,-1e-4,1e-4,-1.4409879401033943,0.1668,not_sig,0.1,0.05
8/14/19,upper,Mn_ppb_0.45,dist_cum_m,-6e-4,5e-4,-1.2861182958570807,0.2147,not_sig,0.08,0.03
8/14/19,upper,Fe_ppb_0.45,dist_cum_m,0.0024,0.0023,1.0234582903562657,0.3197,not_sig,0.05,0
8/14/19,upper,PN,dist_cum_m,0,0,2.267897905025141,0.0352,sig,0.21,0.17
8/14/19,upper,DON,dist_cum_m,-0,0,-4.9471151920749445,1e-4,sig,0.58,0.55
8/14/19,upper,PP,dist_cum_m,0,0,0.43946977253535535,0.6653,not_sig,0.01,-0.04
8/14/19,upper,DOP,dist_cum_m,0,0,0.8128765343407113,0.4269,not_sig,0.04,-0.02
8/14/19,upper,TN_TP,dist_cum_m,-0.0011,3e-4,-4.321652656566862,4e-4,sig,0.5,0.47
8/14/19,upper,DIN_SRP,dist_cum_m,-0.0045,0.0054,-0.8249900256864187,0.4202,not_sig,0.04,-0.02
8/14/19,upper,DOC_TN,dist_cum_m,-3e-4,1e-4,-6.010417212549789,0,sig,0.66,0.64
8/14/19,upper,DOC_TP,dist_cum_m,-0.0236,0.0035,-6.751452682278336,0,sig,0.71,0.69
8/14/19,upper,DOC_DIN,dist_cum_m,-9e-4,1e-4,-11.131667625388566,0,sig,0.87,0.87
8/14/19,upper,DOC_SRP,dist_cum_m,-0.2791,0.0964,-2.896474635275891,0.0096,sig,0.32,0.28
8/14/19,lower,temp_c,dist_cum_m,0,2e-4,0.07916228381638316,0.9375,not_sig,0,-0.04
8/14/19,lower,do_per,dist_cum_m,-0.0012,8e-4,-1.4714363305038463,0.1536,not_sig,0.08,0.04
8/14/19,lower,do_mgl,dist_cum_m,-1e-4,0,-2.024092566851232,0.0538,not_sig,0.14,0.11
8/14/19,lower,spc_uscm,dist_cum_m,3e-4,1e-4,3.826109426627734,8e-4,sig,0.37,0.34
8/14/19,lower,tds_mgl,dist_cum_m,-0,0,-1.719831260861464,0.0978,not_sig,0.49,0.47
8/14/19,lower,ph,dist_cum_m,-0,0,-1.1231903499465539,0.272,not_sig,0.05,0.01
8/14/19,lower,chla_ugl,dist_cum_m,-0,0,-0.6915071040600574,0.4956,not_sig,0.02,-0.02
8/14/19,lower,fdom_qsu,dist_cum_m,-1e-4,2e-4,-0.2986924064420189,0.7676,not_sig,0,-0.04
8/14/19,lower,scan_NO3_mgNL,dist_cum_m,0,0,5.149097790347466,0,sig,0.51,0.5
8/14/19,lower,scan_DOC_mgCL,dist_cum_m,0,0,0.5047671969473851,0.6181,not_sig,0.01,-0.03
8/14/19,lower,NO3_UM,dist_cum_m,3e-4,3e-4,1.331231860194296,0.2406,not_sig,0.26,0.11
8/14/19,lower,NH4_UM,dist_cum_m,2e-4,1e-4,3.4765068171990907,0.0177,sig,0.71,0.65
8/14/19,lower,PO4_UM,dist_cum_m,-0,0,-0.41778354540356794,0.6934,not_sig,0.03,-0.16
8/14/19,lower,NO3_mgNL,dist_cum_m,0,0,1.325755182231382,0.2423,not_sig,0.26,0.11
8/14/19,lower,NH4_mgNL,dist_cum_m,0,0,3.70875850427833,0.0139,sig,0.73,0.68
8/14/19,lower,PO4_mgPL,dist_cum_m,-0,0,-0.013804018540001777,0.9895,not_sig,0,-0.2
8/14/19,lower,TDN_UM,dist_cum_m,4e-4,7e-4,0.6008551152929641,0.5741,not_sig,0.07,-0.12
8/14/19,lower,TDN_mgNL,dist_cum_m,0,0,0.6008551096380446,0.5741,not_sig,0.07,-0.12
8/14/19,lower,TDP_UM,dist_cum_m,-0,0,-2.1706380476040836,0.0821,not_sig,0.49,0.38
8/14/19,lower,TDP_mgPL,dist_cum_m,-0,0,-2.1706380476040845,0.0821,not_sig,0.49,0.38
8/14/19,lower,TN_UM,dist_cum_m,7e-4,0.0011,0.6450562949833776,0.5473,not_sig,0.08,-0.11
8/14/19,lower,TN_mgNL,dist_cum_m,0,0,0.6450562986119751,0.5473,not_sig,0.08,-0.11
8/14/19,lower,TP_UM,dist_cum_m,-0,0,-0.867670612409517,0.4253,not_sig,0.13,-0.04
8/14/19,lower,TP_mgPL,dist_cum_m,-0,0,-0.8676706124095189,0.4253,not_sig,0.13,-0.04
8/14/19,lower,tss_mgL,dist_cum_m,6e-4,8e-4,0.786149519942732,0.4674,not_sig,0.11,-0.07
8/14/19,lower,NPOC_mgCL,dist_cum_m,-0,0,-0.5179371827360127,0.6266,not_sig,0.05,-0.14
8/14/19,lower,Al_ppb_0.45,dist_cum_m,-0.0014,0.002,-0.689078308463354,0.5214,not_sig,0.09,-0.1
8/14/19,lower,Si_ppb_0.45,dist_cum_m,0.0145,0.0194,0.745848718115341,0.4893,not_sig,0.1,-0.08
8/14/19,lower,P_ppb_0.45,dist_cum_m,-3e-4,8e-4,-0.39825768568726794,0.7069,not_sig,0.03,-0.16
8/14/19,lower,Mn_ppb_0.45,dist_cum_m,-5e-4,8e-4,-0.6856448385734866,0.5234,not_sig,0.09,-0.1
8/14/19,lower,Fe_ppb_0.45,dist_cum_m,0.006,0.0078,0.767714293507575,0.4773,not_sig,0.11,-0.07
8/14/19,lower,PN,dist_cum_m,0,0,0.17558095751803834,0.8675,not_sig,0.01,-0.19
8/14/19,lower,DON,dist_cum_m,-0,0,-0.2709425331794021,0.7973,not_sig,0.01,-0.18
8/14/19,lower,PP,dist_cum_m,-0,0,-0.4206088468238803,0.6915,not_sig,0.03,-0.16
